	"America|255,235,0"	"Asturias|39,39,128"	"Atlante|220,20,60"	"Atlas|236,28,36"	"Cruz Azul|6,53,122"	"Espana|0,0,0"	"Guadalajara|226,20,29"	"Leon|22,118,58"	"Marte|254,39,39"	"Monterrey|0,43,93"	"Morelia|226,34,39"	"Necaxa|237,28,36"	"Oro|255,207,17"	"Pachuca|22,37,119"	"Puebla|43,75,117"	"Santos Laguna|0,128,102"	"Tampico|100,201,255"	"Tecos UAG|255,0,0"	"Tigres UANL|251,175,53"	"Tijuana|237,27,38"	"Toluca|208,17,43"	"UNAM|32,44,86"	"Veracruz|255,0,0"	"Zacatepec|0,128,0"
12 de junio de 1923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13 de junio de 1923	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27 de julio de 1924	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15 de marzo de 1925	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9 de mayo de 1926	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5 de junio de 1927	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11 de noviembre de 1928	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23 de junio de 1929	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18 de mayo de 1930	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9 de noviembre de 1930	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 de septiembre de 1932	4	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 de junio de 1933	4	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24 de junio de 1934	4	1	1	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9 de junio de 1935	4	1	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
24 de mayo de 1936	4	1	1	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
